Site,Bottle,datetime,Deployment,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL,ID2,datetime_DLS,Yr
FM,20,2017-07-18T07:30:00Z,3,CMP 247,3,8.19,360,1.404,0.428,0.39,3.15,1.94,0.7,0.03,1.22,12.8,348.3,45.7,247,2017-07-18T07:30:00Z,2017
FM,21,2017-07-18T08:30:00Z,3,CMP 248,2.79,8.25,422,1.569,0.556,0.53,3.77,2.7,0.69,0.04,1.96,12.5,386.2,47.7,248,2017-07-18T08:30:00Z,2017
FM,22,2017-07-18T09:30:00Z,3,CMP 249,2.8,8.27,253,1.246,0.502,0.478,2.95,2.37,0.65,0.03,1.69,12.1,231.2,31.2,249,2017-07-18T09:30:00Z,2017
FM,23,2017-07-18T10:30:00Z,3,CMP 250,2.75,8.24,150,0.822,0.41,0.376,2.22,1.94,0.57,0.02,1.35,11.7,133.4,21.8,250,2017-07-18T10:30:00Z,2017
FM,24,2017-07-18T11:30:00Z,3,CMP 251,2.6,8.2,119,0.592,0.287,0.262,1.89,1.57,0.61,0.03,0.93,10.9,110.4,18.1,251,2017-07-18T11:30:00Z,2017
FM,1,2017-07-26T08:03:00Z,4,CMP 396,3.86,7.94,84.3,0.574,0.341,0.314,1.92,1.5,0.67,0.01,0.81,12.4,78.4,11.3,396,2017-07-26T08:00:00Z,2017
FM,2,2017-07-26T09:03:00Z,4,CMP 397,3.9,8.03,113,0.666,0.319,0.3,1.87,1.43,0.63,0.03,0.78,11.9,112.6,15.7,397,2017-07-26T09:00:00Z,2017
FM,3,2017-07-26T10:03:00Z,4,CMP 398,3.84,8.06,80.1,0.555,0.315,0.294,1.76,1.42,0.65,0.01,0.77,12.2,79.7,12.2,398,2017-07-26T10:00:00Z,2017
FM,4,2017-07-26T11:03:00Z,4,CMP 399,3.89,8.09,111,0.656,0.327,0.314,1.8,1.43,0.63,0.01,0.79,12.6,107.1,15.3,399,2017-07-26T11:00:00Z,2017
FM,5,2017-07-26T12:03:00Z,4,CMP 400,3.85,8.13,89.4,0.629,0.358,0.325,1.69,1.42,0.59,0,0.82,12.7,89.6,13.5,400,2017-07-26T12:00:00Z,2017
FM,6,2017-07-26T13:03:00Z,4,CMP 401,3.98,8.15,70.6,0.52,0.278,0.228,1.6,1.15,0.67,0,0.48,12.3,64,14.5,401,2017-07-26T13:00:00Z,2017
FM,7,2017-07-26T14:03:00Z,4,CMP 402,3.54,8.16,115,0.641,0.266,0.226,2.24,2.04,0.64,0.01,1.4,12.6,106.1,15.4,402,2017-07-26T14:00:00Z,2017
FM,8,2017-07-26T15:03:00Z,4,CMP 403,3.62,8.17,178,0.933,0.498,0.471,2.23,2.06,0.59,0,1.47,12,160.8,23.1,403,2017-07-26T15:00:00Z,2017
FM,9,2017-07-26T16:03:00Z,4,CMP 404,3.7,8.12,98.8,0.712,0.427,0.401,2,1.79,0.54,0.01,1.24,11.3,85.5,12.9,404,2017-07-26T16:00:00Z,2017
FM,10,2017-07-26T17:03:00Z,4,CMP 405,3.85,8.11,91.4,0.564,0.296,0.284,1.43,1.4,0.58,0.01,0.81,10.8,90.6,13.7,405,2017-07-26T17:00:00Z,2017
FM,11,2017-07-26T18:03:00Z,4,CMP 406,3.99,7.94,72.1,0.38,0.143,0.137,0.91,0.87,0.49,0,0.37,9.6,65.7,7,406,2017-07-26T18:00:00Z,2017
FM,12,2017-07-26T19:03:00Z,4,CMP 407,4.61,7.93,133,0.5,0.149,0.14,1.27,0.93,0.48,0,0.45,8.7,126.7,16.8,407,2017-07-26T19:00:00Z,2017
FM,13,2017-07-26T20:03:00Z,4,CMP 408,4.22,7.83,171,0.54,0.13,0.12,1.24,0.65,0.57,0,0.08,9.5,164.8,21.2,408,2017-07-26T20:00:00Z,2017
