Site,Bottle,Date,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL
FM,14,6/22/2017,CMP 141,1.91,7.82,216.9,0.759,0.141,0.1,0.95,0.78,0.42,0.01,0.34,7.9,207.4,24.9
FM,15,6/22/2017,CMP 142,2.53,7.79,131,0.449,0.109,0.081,0.82,0.74,0.45,0.01,0.28,7,135,17
FM,16,6/22/2017,CMP 143,2.66,7.66,66.6,0.297,0.103,0.089,0.7,0.65,0.38,0.02,0.24,6.8,57.4,8.5
FM,17,6/22/2017,CMP 144,2.14,7.6,150,0.544,0.134,0.102,1,0.73,0.41,0.02,0.3,7.8,147.3,19
FM,18,6/22/2017,CMP 145,1.79,7.62,235,0.954,0.23,0.184,1.46,1.05,0.5,0.02,0.53,9.2,237.9,42.4
FM,19,6/22/2017,CMP 146,1.89,7.62,160,0.858,0.344,0.267,1.84,1.49,0.73,0.03,0.73,12.7,156.3,23.2
FM,20,6/22/2017,CMP 147,2.04,7.69,92.5,0.697,0.363,0.302,1.75,1.47,0.74,0.03,0.7,14.7,86.8,13.8
FM,21,6/22/2017,CMP 148,2.29,7.68,64.8,0.668,0.388,0.32,1.9,1.43,0.79,0.02,0.63,16.7,54.3,10
FM,22,6/22/2017,CMP 149,2.5,7.69,87.7,0.839,0.395,0.328,2.14,1.47,0.88,0.02,0.56,18.1,81.4,15.3
FM,23,6/22/2017,CMP 150,2.58,7.93,123,0.839,0.388,0.332,1.85,1.48,0.94,0.04,0.5,18.4,116.4,16.9
FM,24,6/22/2017,CMP 151,2.5,7.71,85.9,0.725,0.42,0.326,1.84,1.56,0.97,0.02,0.57,18.1,77.9,12.8
SD ,1,6/21/2017,CMP 152,1.79,7.88,91.4,0.782,0.414,0.362,2.31,1.93,0.74,0.02,1.17,12.6,73.6,11.2
SD ,2,6/21/2017,CMP 153,1.62,7.92,191,1.23,0.388,0.331,2.25,1.69,0.55,0.01,1.12,11.2,170.2,23.7
SD ,3,6/21/2017,CMP 154,1.6,7.75,139,0.811,0.329,0.302,2.12,1.48,0.65,0,0.83,13.6,127.9,21.6
SD ,4,6/21/2017,CMP 155,1.71,7.58,95.1,0.706,0.363,0.311,2.02,1.78,0.8,0.02,0.96,16.2,70.5,11.4
SD ,5,6/21/2017,CMP 156,1.79,8.01,112,0.849,0.458,0.396,2.37,2.18,0.74,0.02,1.42,13.3,85.4,13.2
SD ,6,6/21/2017,CMP 157,1.97,8.01,108,0.916,0.528,0.428,2.7,2.37,0.79,0.02,1.57,14.2,83.2,14
SD ,7,6/21/2017,CMP 158,2.34,7.93,111,1.03,0.471,0.394,3.14,2.44,0.99,0.02,1.43,18.5,96,18
SD ,8,6/21/2017,CMP 159,2.48,7.74,108,0.982,0.426,0.352,3.14,2.27,1.07,0.02,1.18,21.1,87.6,14.8
SD ,9,6/21/2017,CMP 160,2.15,7.77,105,0.916,0.471,0.388,2.55,2.25,0.86,0.02,1.36,17.3,88,14.9
SD ,10,6/21/2017,CMP 161,1.87,7.89,92.4,0.849,0.496,0.409,2.24,2.06,0.62,0.03,1.42,13.9,87.3,14
SD ,11,6/21/2017,CMP 162,1.67,7.55,91.5,0.678,0.319,0.266,1.84,1.37,0.57,0.01,0.79,13.1,85.4,13.8
SD ,12,6/21/2017,CMP 163,1.51,7.6,81.1,0.544,0.268,0.224,1.48,1.21,0.5,0.01,0.7,11.3,74.7,10.2
SD ,13,6/21/2017,CMP 164,1.41,7.68,85.7,0.487,0.236,0.192,1.26,1.08,0.48,0.01,0.59,10.2,79.8,13.4
SD ,14,6/21/2017,CMP 165,1.5,7.56,93.2,0.592,0.249,0.186,1.43,1.07,0.52,0.01,0.54,11.2,85.9,14.9
SD ,15,6/21/2017,CMP 166,1.44,7.64,115,0.621,0.287,0.244,1.45,1.27,0.56,0.02,0.7,10.7,92.2,16.2
SD ,16,6/21/2017,CMP 167,1.5,7.53,86.2,0.592,0.287,0.23,1.59,1.3,0.52,0.02,0.76,11.9,70,13.3
SD ,17,6/21/2017,CMP 168,1.67,7.74,90.5,0.678,0.388,0.314,1.85,1.72,0.63,0.02,1.08,11.6,72.6,13
SD ,18,6/21/2017,CMP 169,1.9,7.88,114,0.868,0.484,0.37,2.29,2.06,0.73,0.03,1.31,14,95.7,14.3
SD ,19,6/21/2017,CMP 170,2.37,7.7,101,0.973,0.401,0.329,2.24,2.15,0.99,0.02,1.14,19.7,89,17
SD ,20,6/21/2017,CMP 171,2.53,7.58,90.4,0.932,0.395,0.311,2.58,2.14,1.08,0.02,1.04,22.8,69,16.2
SD ,21,6/21/2017,CMP 172,2.82,7.54,137,1.172,0.363,0.284,2.92,2.17,1.23,0.01,0.93,24.5,114.7,21.8
SD ,22,6/21/2017,CMP 173,3,7.81,150,1.239,0.426,0.319,2.74,2.55,1.51,0.15,0.89,33.2,127.1,25.6
SD ,23,6/21/2017,CMP 174,3.21,7.5,155,1.286,0.344,0.263,3.01,2.36,1.51,0.17,0.68,36.5,103.7,22.3
SD,24,6/21/2017,CMP 175,2.03,7.75,160,1.267,0.604,0.523,2.76,2.65,0.75,0.02,1.88,15.4,157.8,25.7
WL-OUT,1,6/28/2017,CMP 176,2.03,7.84,30.2,0.801,0.547,0.457,1.76,1.56,0.86,0.02,0.67,16.3,25.2,4.6
WL-OUT,2,6/28/2017,CMP 177,2.18,7.97,32.7,0.906,0.598,0.498,2,1.62,0.87,0.04,0.72,16,28.2,7.6
WL-OUT,3,6/28/2017,CMP 178,2.14,7.96,34.8,0.801,0.598,0.501,2.02,1.75,0.81,0.02,0.92,16.1,27.8,8.1
WL-OUT,4,6/28/2017,CMP 179,2.17,7.95,40.6,0.849,0.619,0.498,2.05,1.9,0.8,0.02,1.09,17.1,30.9,8.1
WL-OUT,5,6/28/2017,CMP 180,2.11,8,45,0.897,0.648,0.54,2.39,2.11,0.76,0.02,1.33,15.4,38.2,8.9
WL-OUT,6,6/28/2017,CMP 181,2.26,8.01,43.8,0.935,0.623,0.528,2.27,2.14,0.79,0.01,1.34,15.3,35,8
